Column1,Column2
if you had , TPUD
if you say , TPUS
if you tell us , TPUTS
if you go , TPUG
if you got , TPUGD
if you get , TPUGT
if you would , TPULD
if you would , TPULTD
if you thought , TPULGT
if you receive , TPUBZ
if you can , TPUBG
if you can see , TPUBGZ
if you could , TPUBGD
if you can tell us , TPUBGTS
if you believe , TPUBL
if you believed , TPUBLD
if you cannot , TPUBLG
if you cannot , TPUBLGS
if you can't , TPUBLGT
if you , TPUP
if you said , TPUPD
if you please , TPUPSZ
if you want , TPUPT
if you wanted , TPUPTD
if you think , TPUPG
if you said , TPUPLD
if you answer , TPUPBS
if you think , TPUPBG
if you are , TPUR
if you recall , TPURL
if you wish , TPURB
if you should , TPURBD
if you work , TPURBG
if you recognize , TPURBGZ
if you worked , TPURBGD
if you recognize , TPURBGDZ
if you recollect , TPURBGT
if you talked , TPURBGTD
if you able to , TPURBLT
if you were , TPURP
if you don't , TPURPS
if you were to , TPURPT
if you don't , TPURPGS
if you did , TPURPLS
if you did not , TPURPLSZ
if you do , TPURPBLGS
if you do not , TPURPBLGSZ
if you have , TPUF
if you saw , TPUFZ
if you saw , TPUFDZ
if you feel , TPUFL
if you felt , TPUFLT
if you have been , TPUFB
if you hadn't , TPUFPT
if you find , TPUFPBD
if you haven't , TPUFPBT
if you ever had , TPUFRD
if you went , TPUFRG
if you went to , TPUFRGT
if you need , TPUFRB
if you needed , TPUFRBD
if you need to , TPUFRBT
if you needed to , TPUFRBTD
If you need to , TPUFRBGT
if you need , TPUFRPB
if you haven't , TPUFRPBT
if your , TP*RBG
if you go to , TP*UGT
if you go to the , TP*UGTD
if you will , TP*UL
if you wouldn't , TP*ULTD
if you go to the , TP*ULGT
if you go to the , TP*ULGTD
if you received , TP*UBZ
if you understand , TP*UBD
if you can , TP*UBG
if you can answer , TP*UBGZ
if you can answer , TP*UBGSZ
if you can't , TP*UBGT
if you couldn't , TP*UBGTD
if you want to , TP*UPT
if you mean , TP*UPL
if you know , TP*UPB
if you understand , TP*UPBD
if you just , TP*UPBLG
if you remember , TP*UR
if you agree , TP*URG
if you talk to , TP*URBGT
if you talked to , TP*URBGTD
if you weren't , TP*URPT
if you didn't , TP*URPLS
if you weren't , TP*URPBT
if you don't , TP*URPBGS
if you don't , TP*URPBGSZ
if you don't , TP*URPBLGS
if you don't , TP*URPBLGSZ
if you don't , TP*URPBLGTSZ
if you have , TP*UF
if you have seen , TP*UFZ
if you have had , TP*UFD
if you give , TP*UFG
if you have time , TP*UFPLT
if you knew , TP*UFPB
if you found , TP*UFPBD
if you ever , TP*UFR
if you observed , TP*UFRBD
if you review , TP*UFRP
if you reviewed , TP*UFRPD
if you didn't , TP*UFRPLS
if you never , TP*UFRPB
if you don't , TP*UFRPBLGSZ
if you can answer , TP*EUBGSZ
if you want to , TPOUPT
if you recognize , TPOURBGZ
if you recognize , TPOEURBGZ
for your , TPO*RBG
if you need a , TPAUFRB
"{,?}if you know{,?} ", TPAO*UPB
if you're , TPAO*UR
if you've , TPAO*UF
from you , TPRU
refresh your recollection , TPRURBGS
from your , TPR*RBG
for you , TPR*U
in front of you , TPROUF
in front of you , TPROUFD
for you , TPRO*U
from your , TPRAOUR
for your , TPRAO*U
for your , TPRAO*UR
in your opinion , TPHURP
in your , TPH*RBG
in you , TPH*U
that you did not , TPHAURPLSZ
that you didn't , TPHA*URPLS
that you reviewed , TPHA*UFRPD
in your , TPHAOUR
in your opinion , TPHAOURP
in your mind , TPHAOURPLD
in your , TPHAO*UR
in your view , TPHAO*UFRB
in your opinion , TPHRURP
in front of you , TPHROUF
in your , TPHRAOUR
before you , TPWRU
did you find , TK-FPBD
did you , TKU
did you see , TKUZ
did you say , TKUS
did you discuss , TKUSZ
did you tell , TKUT
did you tell , TKUTD
did you tell us , TKUTS
did you go , TKUG
did you go see , TKUGZ
did you get , TKUGD
did you get , TKUGT
did you get , TKUGTD
did you , TKULD
did you also , TKULS
did you tell , TKULT
did you get , TKULGT
did you receive , TKUBZ
did you believe , TKUBL
did you , TKUP
did you speak , TKUPS
did you want , TKUPT
did you go , TKUPG
did you ask , TKUPGS
did you also , TKUPLS
did you tell me , TKUPLT
did you know , TKUPB
did you understand , TKUPBD
did you not , TKUPBT
did you understand , TKUPBTD
did you notice , TKUPBTS
did you think , TKUPBG
did you think so , TKUPBGS
did you know , TKUPBL
did you come , TKUPBLG
did you recall , TKURL
did you realize , TKURLZ
did you receive , TKURBZ
did you work , TKURBG
did you recognize , TKURBGZ
did you talk , TKURBGT
did you do , TKURBLGS
did you remember , TKURPL
did you do , TKURPLS
did you do , TKURPLGS
did you do , TKURPBGS
did you do , TKURPBLS
did you do , TKURPBLTS
did you do , TKURPBLGD
did you do , TKURPBLGS
did you do , TKURPBLGTS
did you have , TKUF
did you find , TKUFD
did you have any , TKUFSZ
did you feel , TKUFL
did you have , TKUFP
did you find , TKUFPBD
did you ever , TKUFR
did you first , TKUFRS
did you feel , TKUFRL
did you need , TKUFRB
did you need to , TKUFRBT
did you do , TKUFRPLS
did you find , TKUFRPBD
did your , TK*RBG
did you do , TK*UD
did you ask , TK*UGS
did you go to , TK*UGT
did you go to the , TK*UGTD
did you go to the , TK*ULGTD
did you receive , TK*UBZ
did you receive , TK*UBS
did you expect , TK*UP
did you mean , TK*UPL
did you just , TK*UPBLG
did you remember , TK*UR
did you recognize , TK*URZ
did you read , TK*URD
did you agree , TK*URG
did you go to , TK*URGTD
did she tell you , TK*URBT
did you talk , TK*URBG
did you talk to , TK*URBGT
did you review , TK*URP
did you do , TK*URPBLGS
did you have any , TK*UFSZ
did you give , TK*UFG
did you live , TK*UFL
did you have an , TK*UFPB
did you find , TK*UFPBD
did you ever , TK*UFR
did you ever see , TK*UFRZ
did you ever see , TK*UFRDZ
did you ever have any , TK*UFRSZ
did you ever tell , TK*UFRT
did you ever go , TK*UFRG
did you ever go see , TK*UFRGZ
did you ever get , TK*UFRGT
did you go to the , TK*UFRGTD
did you ever , TK*UFRL
did you observe , TK*UFRB
did you ever receive , TK*UFRBZ
did you review , TK*UFRP
did you review , TK*UFRPD
did you review any , TK*UFRPSZ
did you review the , TK*UFRPT
did you ever think , TK*UFRPBG
did he tell you , TK*ET
do you , TKOU
do you see , TKOUZ
do you do , TKOUD
do you say , TKOUS
do you go , TKOUG
do you get , TKOUGT
do you also , TKOULS
do you receive , TKOUBZ
do you believe , TKOUBL
do you understand , TKOUPD
do you speak , TKOUPS
do you want , TKOUPT
do you mean , TKOUPL
do you think , TKOUPBG
do you reside , TKOURDZ
do you agree , TKOURG
do you disagree , TKOURGZ
do you recall , TKOURL
do you realize , TKOURLZ
do you wish , TKOURB
do you work , TKOURBG
do you recognize , TKOURBGZ
do you recognize , TKOURBGDZ
do you recognize , TKOURBGSZ
do you recognize , TKOURBGSDZ
do you recollect , TKOURBGT
do you do , TKOURPLS
do you understand , TKOURPBD
do you do , TKOURPBGS
do you do , TKOURPBLS
do you think , TKOURPBLG
do you recognize , TKOURPBLGZ
do you do , TKOURPBLGS
do you have , TKOUF
do you have any , TKOUFSZ
do you feel , TKOUFL
do you find , TKOUFPBD
do you first , TKOUFRS
do you refer to , TKOUFRT
do you agree , TKOUFRG
do you need , TKOUFRB
do you need to , TKOUFRBT
do you recognize , TKOEURBGZ
do your , TKO*RBG
do you go to , TKO*UGT
do you go to the , TKO*UGTD
do you receive , TKO*UBZ
do you receive , TKO*UBS
do you mean , TKO*UPL
do you  understand that , TKO*UPBD
do you just , TKO*UPBLG
do you remember , TKO*UR
do you recognize , TKO*URZ
do you read , TKO*URD
do you agree , TKO*URG
do you really , TKO*URL
do you understand , TKO*URPBD
do you have , TKO*UF
do you have any , TKO*UFSZ
do you live , TKO*UFL
do you ever , TKO*UFR
do you observe , TKO*UFRB
do you review , TKO*UFRP
draw your attention , TKAURPBGS
did you do , TKAURPBLGS
do you have , TKAUF
do you understand , TKAOPBD
do you see , TKAOUZ
do you see , TKAOUSZ
do you see , TKAOUTSZ
do you go , TKAOUG
do you say , TKAOUGS
do you get , TKAOUGT
do you get , TKAOUGTD
do you know , TKAOUB
do you receive , TKAOUBZ
do you believe , TKAOUBL
do you believe so , TKAOUBLS
do you believe , TKAOUBLT
do you belong , TKAOUBLG
do you know , TKAOUP
do you see , TKAOUPZ
do you want , TKAOUPT
do you think , TKAOUPG
do you mean , TKAOUPL
do you know , TKAOUPB
do you know , TKAOUPBZ
do you understand , TKAOUPBD
do you understand , TKAOUPBDZ
do you think , TKAOUPBG
do you think so , TKAOUPBGS
do you know , TKAOUPBL
do you understand , TKAOUPBLD
do you think , TKAOUPBLG
do you know that , TKAOUPBLGTS
did your , TKAOUR
do you see , TKAOURZ
do you agree , TKAOURG
do you recall , TKAOURL
do you recall the , TKAOURLT
do you recall , TKAOURLG
do you recall that , TKAOURLGTS
do you recollect , TKAOURBG
do you recognize , TKAOURBGZ
do you recognize , TKAOURBGSZ
do you recollect , TKAOURBGT
do you believe , TKAOURBL
do you remember , TKAOURPL
Do you recall , TKAOURPLT
do you know , TKAOURPB
do you understand , TKAOURPBD
do you think , TKAOURPBG
do you recall , TKAOURPBL
do you do , TKAOURPBLGS
do you have , TKAOUF
do you see , TKAOUFZ
do you have any , TKAOUFSZ
do you feel , TKAOUFL
do you have that , TKAOUFLGTS
do you have , TKAOUFP
do you know , TKAOUFPB
do you find , TKAOUFPBD
do you ever , TKAOUFR
do you refer to , TKAOUFRT
do you recall , TKAOUFRL
do you need , TKAOUFRB
do you need to , TKAOUFRBT
Do you know , TKAOUFRPB
do you know , TKAOEUP
\do you know\dine , TKAOEUPB
do you think , TKAOEUPBGTS
do you have any idea , TKAO*FRPBD
do you see that , TKAO*UZ
do you do , TKAO*UD
do you go to , TKAO*UGT
do you see that , TKAO*ULZ
do you recognize , TKAO*UBGZ
do you mean , TKAO*UPL
do you understand that , TKAO*UPBD
do you remember , TKAO*UR
do you read , TKAO*URD
do you agree , TKAO*URG
do you recall that , TKAO*URL
do you remember that , TKAO*URLT
do you remember that , TKAO*URLTS
do you remember that , TKAO*URLGTS
do you recall , TKAO*URBL
do you recall , TKAO*URPL
do you know , TKAO*URPB
do you have , TKAO*UF
do you have an , TKAO*UFPB
do you ever , TKAO*UFR
do you recall , TKAO*UFRL
do you review , TKAO*UFRP
do you recall , TKAO*EURL
do you recall , TKRAOURL
do you recall , TKRAOURLG
do you have , TKRAOUF
Do you see , TKHAOUZ
do you think , TKHAOUPBG
do you recognize , TKHAOURBGZ
do you know the , TKW-T
do you know this , TKW-TSDZ
do you know that , TKW-LGTS
do you know why , TKW-RBG
do you know when , TKW-RP
do you know if , TKW-F
do you know what , TKW-FB
did you , TKWU
did you tell , TKWUT
did you do , TKWURPBLGS
did you have , TKWUF
do you know it , TKW*T
give you , TKW*UF
do you , TKWOU
do you want , TKWOUPT
do you think , TKWAOUPG
do you mean , TKWAOUPL
do you recall , TKWAOURL
do you have , TKWAOUF
do you feel , TKWAOUFL
do you remember , TKWAO*UR
you couldn't , TKWRU
you couldn't see , TKWRUZ
you couldn't be , TKWRUB
you couldn't even , TKWRUPB
you couldn't agree , TKWRURG
you couldn't recall , TKWRURL
you couldn't remember , TKWRURPL
you couldn't find , TKWRUFD
you couldn't have , TKWR*UF
you're , TKWRAOUR
you're , TKWRAO*UR
did you , TKPU
did you tell , TKPUT
did you have , TKPUF
did you ever , TKP*UFR
do you also , TKPOULS
do you recall , TKPOURL
do you do , TKPOURPBLGS
do you have , TKPOUF
do you see , TKPAOUZ
do you believe , TKPAOUBL
do you mean , TKPAOUPL
do you know , TKPAOUPB
do you think , TKPAOUPBG
do you recall , TKPAOURL
do you have , TKPAOUF
do you remember , TKPAO*UR
did you review , TKPH*UFRP
did you observe , TKPHR*UFRB
did you review , TKPHR*UFRP
but you would , TKPWULD
give you , TKPW*UF
"{,?}but you can answer ", TKPWA*RPBZ
give you a , TKPWA*UF
gave you , TKPWA*EFR
do you recall , TKPWAOURL
Do you have , TKPWAOUF
you're , TKPWRAO*UR
but you're , TKPWHR-FRD
but you'll , TKPWHR-FRLD
"{,?}but you ", TKPWHRU
but you see , TKPWHRUZ
"{,?}but you had ", TKPWHRUD
but you say , TKPWHRUS
but you got , TKPWHRUGD
but you will , TKPWHRUL
but you would , TKPWHRULD
but you also , TKPWHRULS
but you thought , TKPWHRULGT
"{,?}but you can ", TKPWHRUBG
but you can see , TKPWHRUBGZ
but you could , TKPWHRUBGD
but you believe , TKPWHRUBL
but you cannot , TKPWHRUBLG
but you said , TKPWHRUPD
but you want , TKPWHRUPT
but you wanted , TKPWHRUPTD
"but, you know{,} ", TKPWHRUPB
but you understand , TKPWHRUPBD
but you think , TKPWHRUPBG
but you are , TKPWHRUR
but you agree , TKPWHRURG
but you recall , TKPWHRURL
but you should , TKPWHRURBD
but you were , TKPWHRURP
but you did , TKPWHRURPLS
but you did not , TKPWHRURPLSZ
but you do , TKPWHRURPBLGS
but you did not , TKPWHRURPBLGSZ
"{,?}but you have ", TKPWHRUF
but you saw , TKPWHRUFZ
but you feel , TKPWHRUFL
but you felt , TKPWHRUFLT
but you haven't , TKPWHRUFPBT
but you went , TKPWHRUFRG
"{,?}but you need ", TKPWHRUFRB
but your , TKPWHR*RBG
but you wouldn't , TKPWHR*ULTD
but you received , TKPWHR*UBZ
"{,?}but you can answer ", TKPWHR*UBGZ
but you couldn't , TKPWHR*UBGTD
"{,?}but you just ", TKPWHR*UPBLG
but you remember , TKPWHR*UR
but you can answer , TKPWHR*URBGZ
but you weren't , TKPWHR*URPT
but you didn't , TKPWHR*URPLS
but you don't , TKPWHR*URPBLGSZ
but you knew , TKPWHR*UFPB
but you never , TKPWHR*UFRPB
but you can answer , TKPWHRA*PBZ
but your , TKPWHRAOUR
but your , TKPWHRAO*UR
as you're , S-FRD
is you , SU
as you see , SUZ
as you say , SUS
as you sit , SUT
as you sit here today , SUTD
as you go , SUG
as you got , SUGD
as you can see , SUBGZ
as you recall , SURL
as you saw , SUFZ
as you find , SUFPBD
so you went , SUFRGT
as you , S*U
as you see , S*UZ
as you sit here , S*UT
as you sit here , S*UTD
as you go , S*UG
as you would , S*ULD
as you can see , S*UBGZ
as you said , S*UPD
as you want , S*UPT
as you must , S*UPLS
as you understand , S*UPBD
as you just , S*UPBLG
as you wish , S*URB
as you were , S*URP
is you weren't , S*URPT
as you remember , S*URPL
as you did , S*URPLS
as you understand , S*URPBD
as you went , S*UFRG
so you , SOU
so you see , SOUZ
so you had , SOUD
so you say , SOUS
so you go , SOUG
so you got , SOUGD
so you get , SOUGT
so you will see , SOULZ
so you would , SOULD
so you thought , SOULGT
so you receive , SOUBZ
so you can , SOUBG
so you can see , SOUBGZ
so you could , SOUBGD
so you can see , SOUBGSZ
so you believe , SOUBL
so you believed , SOUBLD
so you cannot , SOUBLG
so you said , SOUPD
so you want , SOUPT
so you wanted , SOUPTD
so you said , SOUPLD
so you know , SOUPB
so you think , SOUPBG
so you think , SOUPBLG
so you agree , SOURG
so you recall , SOURL
so you should , SOURBD
so you worked , SOURBGD
so you were , SOURP
So you were , SOURPL
so you did , SOURPLS
so you did not , SOURPLSZ
so you weren't , SOURPBT
so you do , SOURPBLGS
so you have , SOUF
so you saw , SOUFZ
so you feel , SOUFL
so you felt , SOUFLT
so you hadn't , SOUFPTD
so you haven't , SOUFPBT
so you first , SOUFRS
so you went , SOUFRG
so you need , SOUFRB
so you need to , SOUFRBT
so you were , SOUFRP
so you wouldn't , SO*ULTD
so you can't , SO*UBGT
so you couldn't , SO*UBGTD
so you must , SO*UPLS
so you understand , SO*UPBD
so you mentioned , SO*UPBGS
so you just , SO*UPBLG
so you remember , SO*UR
so you really , SO*URL
so you weren't , SO*URPT
so you didn't , SO*URPLS
so you did not , SO*URPLSZ
so you knew , SO*UFPB
so you found , SO*UFPBD
so you reviewed , SO*UFRPD
so you never , SO*UFRPB
as you know , SA*UPB
as you know , SAOUPB
is your , SAOUR
so you understand , SAOURPBDZ
as your , SAO*URZ
as you've , SAO*UF
have you , SRU
have you seen , SRUZ
have you had , SRUD
Have you had , SRUDZ
have you had , SRUTD
have you gone , SRUG
have you got , SRUGD
have you , SRUL
have you had , SRULD
have you also , SRULS
have you thought , SRULGT
have you been , SRUB
have you been , SRUBG
have you , SRUP
have you said , SRUPD
have you not , SRUPBT
have you worked , SRURBGD
have you seen , SRUFZ
have you seen , SRUFSZ
have you felt , SRUFLT
have you ever , SRUFR
have you understood , SRUFRD
have you ever been , SRUFRB
have you understood , SRUFRPD
have you received , SR*UBZ
have you ever , SR*UR
have you ever seen , SR*URZ
have you read , SR*URD
have you ever , SR*UF
have you seen , SR*UFZ
have you ever had , SR*UFD
have you seen , SR*UFDZ
have you seen , SR*UFSZ
have you lived , SR*UFLD
have you ever been , SR*UFB
have you ever , SR*UFR
have you ever seen , SR*UFRZ
have you ever had , SR*UFRD
have you ever seen , SR*UFRSZ
have you ever had , SR*UFRTD
have you ever gone , SR*UFRG
have you ever been , SR*UFRB
have you ever been seen , SR*UFRBZ
have you ever observed , SR*UFRBD
have you ever worked , SR*UFRBGD
have you ever been , SR*UFRBL
have you reviewed , SR*UFRPD
have you found , SR*UFRPBD
have you received , SR*EBZ
Have you ever been , SRO*UFRB
have you , SRAU
have you had , SRAUD
have you ever been , SRA*URB
have you ever seen , SRA*UFRZ
have you ever had , SRA*UFRD
have you ever been , SRA*UFRB
have you reviewed , SRAO*UFRPD
should you , SHU
should you be , SHUB
should you have , SHUF
your husband's , SH*UZ
your husband , SH*US
your husband's , SH*USZ
show you , SHO*U
your house , SHO*US
have you , SHRU
have you had , SHRUD
have you seen , SHR*UFZ
have you ever , SHR*UFR
have you ever had , SHR*UFRD
your wife , SWAO*EUF
your wife's , SWAO*EUFZ
your wife's , SWAO*EUFS
what you , SWHAU
spell your name , SPURPBL
have you ever , SPR*UFR
have you ever seen , SPR*UFRZ
have you ever had , SPR*UFRD
some of you , SPHUF
your mom's , SPHO*PLS
your mother , SPHO*ERT
into your , SPWAO*RBG
ask you , SKU
ask you this , SKUTDZ
ask you this , SKUTSDZ
asking you , SKUG
ask you that , SKULGTS
your counsel , SKO*UPBL
which you , SKHU
how you did , SKHOURPLS
let me ask you this , SKHREUS
and you , SKWU
and you see , SKWUZ
and you had , SKWUD
and you say , SKWUS
and you go , SKWUG
and you got , SKWUGD
and you get , SKWUGT
and you will , SKWUL
and you would , SKWULD
and you also , SKWULS
and you thought , SKWULGT
and you can , SKWUBG
and you could , SKWUBGD
and you believe , SKWUBL
and you believed , SKWUBLD
and you said , SKWUPD
and you want , SKWUPT
and you wanted , SKWUPTD
and you know , SKWUPB
and you understand , SKWUPBD
and you think , SKWUPBG
and you are , SKWUR
and you did , SKWURLS
and you should , SKWURBD
and you were , SKWURP
and you did , SKWURPLS
and you did not , SKWURPLSZ
and you do , SKWURPBLGS
and you do not , SKWURPBLGSZ
and you have , SKWUF
and you saw , SKWUFZ
and you feel , SKWUFL
and you received , SKWUFBZ
and you hadn't , SKWUFPT
and you haven't , SKWUFPBT
and you went , SKWUFRG
and you need , SKWUFRB
and you went , SKWUFRPBG
and your , SKW*RBG
and you just , SKW*UPBLG
and you were , SKW*URP
and you didn't , SKW*URPLS
and you don't , SKW*URPBLGS
and you knew , SKW*UFPB
and your , SKWAOUR
and you , SKWRU
you didn't , SKWREU
you didn't see , SKWREUZ
you didn't say , SKWREUS
you didn't tell , SKWREUT
you didn't go , SKWREUG
you didn't get , SKWREUGT
you didn't receive , SKWREUBZ
you didn't believe , SKWREUBL
you didn't believe so , SKWREUBLS
you didn't speak , SKWREUPS
you didn't want , SKWREUPT
you didn't know , SKWREUPB
you didn't understand , SKWREUPBD
you didn't think , SKWREUPBG
you didn't recall , SKWREURL
you didn't do , SKWREURPLS
you didn't do , SKWREURPBGS
you didn't do , SKWREURPBLGS
you didn't do , SKWREURPBLGTS
you didn't have , SKWREUF
you didn't feel , SKWREUFL
you didn't have , SKWREUFP
you didn't feel , SKWREUFPL
you didn't find , SKWREUFPBD
you didn't need , SKWREUFRB
you didn't need to , SKWREUFRBT
you didn't review , SKWREUFRP
and you knew , SKWR*UFPB
you didn't say , SKWR*EUS
you didn't go to , SKWR*EUGT
you didn't remember , SKWR*EUR
you didn't really see , SKWR*EURLZ
you didn't have , SKWR*EUF
you didn't ever , SKWR*EUFR
you didn't review , SKWR*EUFRP
you don't , SKWROE
you don't see , SKWROEZ
you don't say , SKWROES
you don't tell , SKWROET
you don't go , SKWROEG
you don't get , SKWROEGD
you don't guess , SKWROEGS
you don't get , SKWROEGT
you don't get , SKWROEGTD
you don't know , SKWROEB
you don't believe , SKWROEBL
you don't believe so , SKWROEBLS
you don't want , SKWROEPT
you don't mean , SKWROEPL
you don't know , SKWROEPB
you don't answer , SKWROEPBZ
you don't understand , SKWROEPBD
you don't think , SKWROEPBG
you don't think so , SKWROEPBGS
you don't know , SKWROEPBL
you don't remember , SKWROER
you don't agree , SKWROERG
you don't recall , SKWROERL
you don't recall , SKWROERLT
you don't recall , SKWROERLTD
you don't need , SKWROERB
you don't work , SKWROERBG
you don't recognize , SKWROERBGZ
you don't recollect , SKWROERBGT
you don't recall , SKWROERPL
you don't know , SKWROERPB
you don't understand , SKWROERPBD
you don't do , SKWROERPBLS
you don't do , SKWROERPBLGS
you don't have , SKWROEF
you don't have , SKWROEFD
you don't have the , SKWROEFT
you don't feel , SKWROEFL
you don't need , SKWROEFB
you don't know , SKWROEFPB
you don't have , SKWROEFR
you don't need , SKWROEFRB
you don't need to , SKWROEFRBT
you don't know , SKWROEFRPB
you don't recall , SKWROEURL
you don't have , SKWROEUF
you don't see , SKWRO*ESZ
you don't mean , SKWRO*EPL
you don't remember , SKWRO*ER
you don't agree , SKWRO*ERG
you don't really , SKWRO*ERL
you don't have , SKWRO*EF
you don't have an , SKWRO*EFPB
you don't find , SKWRO*EFPBD
you didn't have to , SKWRO*EUFT
you didn't have to be , SKWRO*EUFB
you can't , SKWRA
you can't see , SKWRAZ
you can't say , SKWRAS
you can't tell , SKWRAT
you can't tell , SKWRATD
you can't tell us , SKWRATS
you can't go , SKWRAG
you can't get , SKWRAGT
you can't be , SKWRAB
you can't believe , SKWRABL
you can't understand , SKWRAPBD
you can't answer , SKWRAPBS
you can't think , SKWRAPBG
you can't recall , SKWRARL
you can't do , SKWRARPBLGS
you can't do , SKWRARPBLGTS
you can't have , SKWRAF
you can't tell me , SKWRA*T
you can't remember , SKWRA*R
you can't really , SKWRA*RL
you're , SKWRAOUR
you don't have , SKWRAOEF
you're , SKWRAO*UR
and when you were , SKWHURP
you didn't , SKWHREU
you didn't know , SKWHREUPB
you don't know , SKWHROEPB
You don't have , SKWHROEF
you don't have , SKWHROEFR
and you're , SKP-FRD
and you'll , SKP-FRLD
\and you\you and , SKPU
and you see , SKPUZ
and you had , SKPUD
and you say , SKPUS
and you see , SKPUSZ
and you get , SKPUG
and you got , SKPUGD
and you get , SKPUGT
and you will , SKPUL
and you will see , SKPULZ
and you would , SKPULD
and you also , SKPULS
and you thought , SKPULGT
and you receive , SKPUBZ
and you can , SKPUBG
and you can see , SKPUBGZ
and you could , SKPUBGD
and you could see , SKPUBGDZ
and you believe , SKPUBL
And you believed , SKPUBLD
and you said , SKPUPD
and you want , SKPUPT
and you wanted , SKPUPTD
and you would , SKPUPLD
and you must , SKPUPLS
and you know , SKPUPB
and you understand , SKPUPBD
and you think , SKPUPBG
and you understand , SKPUPBLD
and you are , SKPUR
and you are the , SKPURT
and you agree , SKPURG
and you recall , SKPURL
and you should , SKPURBD
and you recollect , SKPURBG
and you recognize , SKPURBGZ
and you worked , SKPURBGD
and you should , SKPURBLD
and you were , SKPURP
and you were the , SKPURPT
and you did , SKPURPLS
and you did not , SKPURPLSZ
and you did not , SKPURPLGSZ
and you weren't , SKPURPBT
and you do , SKPURPBLGS
and you do not , SKPURPBLGSZ
and you have , SKPUF
and you saw , SKPUFZ
and you have had , SKPUFD
and you testified , SKPUFTD
and you feel , SKPUFL
and you felt , SKPUFLT
and you have been , SKPUFB
and you believe , SKPUFBL
and you hadn't , SKPUFPT
and you haven't , SKPUFPBT
and you went , SKPUFRG
and you went to , SKPUFRGT
and you need , SKPUFRB
and you needed , SKPUFRBD
and you need to , SKPUFRBT
and you understood , SKPUFRPL
and you haven't , SKPUFRPBT
and your , SKP*RBG
and you say , SKP*US
and you go to the , SKP*UGTD
and you wouldn't , SKP*ULTD
and you received , SKP*UBZ
and you couldn't , SKP*UBGTD
and you must , SKP*UPLS
and you just , SKP*UPBLG
and you remember , SKP*UR
and you agree , SKP*URG
and you shouldn't , SKP*URBTD
and you weren't , SKP*URPT
and you didn't , SKP*URPLS
and you don't , SKP*URPBLGS
and you do not , SKP*URPBLGSZ
and you knew , SKP*UFPB
and you found , SKP*UFPBD
and you observed , SKP*UFRBD
and you reviewed , SKP*UFRPD
and you never , SKP*UFRPB
your company , SKPA*EPB
and you'll , SKPAOUL
and your , SKPAOUR
and you were , SKPAOURP
and you understood , SKPAOURPBDZ
and you've , SKPAO*UF
because you , SKPRU
because you had , SKPRUD
because you got , SKPRUGD
because you get , SKPRUGT
because you will , SKPRUL
because you would , SKPRULD
because you thought , SKPRULGT
because you can , SKPRUBG
because you can see , SKPRUBGZ
because you could , SKPRUBGD
because you believe , SKPRUBL
because you believed , SKPRUBLD
because you believed , SKPRUBLTD
because you cannot , SKPRUBLG
because you said , SKPRUPD
because you want , SKPRUPT
because you wanted , SKPRUPTD
because you know , SKPRUPB
because you think , SKPRUPBG
because you are , SKPRUR
and you realize , SKPRURLZ
because you should , SKPRURBD
because you worked , SKPRURBGD
because you were , SKPRURP
because you did , SKPRURPLS
because you did not , SKPRURPLSZ
because you do not , SKPRURPBLGSZ
because you have , SKPRUF
because you saw , SKPRUFZ
because you felt , SKPRUFLT
because you hadn't , SKPRUFPT
because you haven't , SKPRUFPBT
because you first , SKPRUFRS
because you went , SKPRUFRG
because you need , SKPRUFRB
because you needed , SKPRUFRBD
because your , SKPR*RBG
because you can't , SKPR*UBGT
because you couldn't , SKPR*UBGTD
and you just , SKPR*UPBLG
because you remember , SKPR*UR
because you weren't , SKPR*URPT
because you didn't , SKPR*URPLS
because you don't , SKPR*URPBLGS
because you knew , SKPR*UFPB
because you never , SKPR*UFRPB
because you're , SKPRAO*UR
and you , SKPHU
and you had , SKPHUD
and you also , SKPHULS
and you can , SKPHUBG
and you cannot , SKPHUBLG
and you should , SKPHURBD
and you were , SKPHURP
and you felt , SKPHUFLT
and you , SKPWU
And you were , SKPWURP
and you think , SKPWUFRPBG
because you're , SKPWR-FRD
because you believed , SKPWRUBLD
because you understand , SKPWRUPBD
you don't have , SKPWROEF
and you will , SKPWHUL
and when you went , SKPWHUFRG
so you , STOU
state your name , STAURP
state your name , STAURPB
state your full name , STAUFRB
state your full name , STAUFRPB
state your full name for the record , STAUFRPBD
state your name , STAEURP
state your full , STAEUFRL
state your full name , STAEUFRPB
state your full name , STA*UFRPL
state your full name , STA*EUFRPB
state your , STAOUR
to your knowledge , STAOURPBLG
state your , STAO*UR
have you , STRU
have you seen , STR*UFZ
Have you ever , STR*UFR
have you ever been , STR*UFRB
thank you , STHUPBG
your husband , STH*US
is that you , STHAU
is that you see , STHAUZ
that you had , STHAUD
so that you can see , STHAUBGZ
so that you could , STHAUBGD
that you said , STHAUPD
is that you are , STHAUR
is that you were , STHAURP
that you did , STHAURPLS
that you did not , STHAURPLSZ
is that you are not , STHAURPBT
is that you hadn't , STHAUFPT
that you received , STHA*UBZ
that you reviewed , STHA*UFRPD
so that you , STHAOU
so that you had , STHAOUD
so that you get , STHAOUGT
so that you would , STHAOULD
so that you can , STHAOUBG
so that you can see , STHAOUBGZ
so that you could , STHAOUBGD
so that you could , STHAOUBGTD
so that you know , STHAOUPB
